vendor_part,vendor_manufacturer,vendor_description,vmrs_code,vmrs_system,vmrs_subcode,vmrs_description,description_similarity,quality
3899283,CUMMINS ENGINE CO,"SEAL, O-RING",044-003-000,44,3,Fuel Pump,0.0,LOW
3900628,CUMMINS ENGINE CO,"SCREW, HEX FLANGE",044-000-000,44,0,Fuel System,0.0,LOW
3924725,CUMMINS ENGINE CO,"BOLT, BANJO CONNECTION",044-003-182,44,3,Bolt - Fuel Line,0.2,MEDIUM
3928013S,FLEETGUARD,"HEATER, FILTER, FUEL, ASSY",044-015-001,44,15,Heater Assembly - HVAC System,0.14285714285714285,LOW
3930335S,FLEETGUARD,"HEATER, FILTER, FUEL, ASSY",044-015-001,44,15,Heater Assembly - HVAC System,0.14285714285714285,LOW
3937142,CUMMINS ENGINE CO,"SEAL, INJECTOR",044-004-024,44,4,Seal Injector Cup,0.6666666666666666,HIGH
3958181S,FLEETGUARD,"HEAD, FILTER, FUEL, ASSY",044-002-081,44,2,Head - Fuel Filter,0.75,HIGH
3963736,CUMMINS ENGINE CO,INJECTOR WIRING HARNESS RETAIN,044-014-000,44,14,Injectors - Electronic,0.0,LOW
3963991,CUMMINS ENGINE CO,"WASHER, SEALING - FUEL LINE",044-003-000,44,3,Fuel Pump,0.2,MEDIUM
3966128,CUMMINS ENGINE CO,"TUBE, FUEL SUPPLY",044-003-016,44,3,Line - Fuel Pump Rail,0.16666666666666666,MEDIUM
3969822,CUMMINS ENGINE CO,"CONNECTOR, ADAPTER",044-000-000,44,0,Fuel System,0.0,LOW
3C3Z-9N184-CB,FORD MOTOR CO,"FILTER, FUEL/WATER SEPARATOR",044-002-016,44,2,"Element - Fuel Filter, Water Separator",0.8,HIGH
4059172,CUMMINS ENGINE CO,"SEAL, O-RING",044-000-000,44,0,Fuel System,0.0,LOW
4070447C4,NAVISTAR,"STRAP, FUEL TANK",044-000-000,44,0,Fuel System,0.25,MEDIUM
4070448C4,NAVISTAR,"STRAP, FUEL TANK",044-000-000,44,0,Fuel System,0.25,MEDIUM
4070450C2,NAVISTAR,"STRAP, FUEL TANK",044-000-000,44,0,Fuel System,0.25,MEDIUM
4072967C3,NAVISTAR,"STRAP, FUEL, TANK, FLANGE",044-001-019,44,1,Strap - Fuel TankStrap - Fuel Tank Desfar,0.5,HIGH
4080114C2,NAVISTAR,"FILTER, FUEL/WATER SEPARATOR",044-002-087,44,2,"Filter - Fuel Filter, Water Separator",1.0,HIGH
4172824C1S,INTERNATIONAL,FUEL TANK,044-000-000,44,0,Fuel System,0.3333333333333333,HIGH
4172958C2,INTERNATIONAL,"TANK, FUEL, DS",044-001-001,44,1,Tank - Fuel,0.6666666666666666,HIGH
4173070C1S,NAVISTAR,FUEL TANK 26 IN. 80 GALLON,044-001-000,44,1,"Tank - Fuel, Liquid",0.2857142857142857,MEDIUM
423322,THERMO KING,PUMP- FUEL ELECTRIC,044-003-000,44,3,Fuel Pump,0.6666666666666666,HIGH
4307021RX,CUMMINS ENGINE CO,"PUMP, FUEL",044-000-000,44,0,Fuel System,0.3333333333333333,HIGH
4307034,CUMMINS ENGINE CO,ACCUMULATOR,044-000-000,44,0,Fuel System,0.0,LOW
4318183,CUMMINS ENGINE CO,"TUBE, OIL SUPPLY",044-001-011,44,1,Line - Fuel,0.0,LOW
4359489,CUMMINS ENGINE CO,FUEL PUMP,044-003-000,44,3,Fuel Pump,1.0,HIGH
4384222,CUMMINS ENGINE CO,"ACTUATOR, ELECTRIC, FUEL, CONT",044-007-016,44,7,"Lever - Actuating, Throttle Control (Hand)",0.0,LOW
4384373RX,CUMMINS ENGINE CO,"HEAD, FUEL PUMP",044-003-263,44,3,Head - Fuel Pump,1.0,HIGH
44-00046-04,CARRIER CORP,CAP AND CHAIN (NON-VENTED TYPE,044-001-002,44,1,Cap - Fuel TankCap - Fuel Tank Deefer,0.1,LOW
482003,"DAVCO, INC.","COLLAR, COVER, SEPARATOR F/W",044-002-022,44,2,Cover - Fuel Filter,0.14285714285714285,LOW
483047SDAV,"DAVCO, INC.","WATER SEPERATOR, FUEL",044-000-000,44,0,Fuel System,0.25,MEDIUM
49019-0032,KAWASAKI,"FILTER, FUEL, PRIMARY, KIT",044-002-000,44,2,Filters,0.0,LOW
490-89,"PACCAR, INC.","SEAL, FUEL CAP",044-001-003,44,1,Gasket - Fuel Tank Cap,0.4,HIGH
4928171,CUMMINS ENGINE CO,"INJECTOR, REMANUFACTURED",044-014-001,44,14,Injector Assembly - Electronic,0.25,MEDIUM
4928575,CUMMINS ENGINE CO,"GASKET, PUMP, FUEL",044-003-009,44,3,Gasket - Fuel Pump Flange Or Adapter,0.5,HIGH
4933571,CUMMINS ENGINE CO,"VALVE, CHECK, FUEL",044-003-245,44,3,Check Valve - Integrated Fuel Systems,0.6,HIGH
4934545,CUMMINS ENGINE CO,"HARNESS, INJECTOR WIRING",044-014-002,44,14,Wiring Harness - Electronic Injectors,0.4,HIGH
4935981,CUMMINS ENGINE CO,FUEL INJECTOR,044-000-000,44,0,Fuel System,0.3333333333333333,HIGH
4938005,CUMMINS ENGINE CO,"VALVE, FUEL PREASURE",044-000-000,44,0,Fuel System,0.25,MEDIUM
4954245,CUMMINS ENGINE CO,"SENSOR, PRESSURE, FUEL",044-014-007,44,14,Sensor - Injection Control Pressure (ICP),0.3333333333333333,HIGH
4954314,CUMMINS ENGINE CO,FUEL PUMP,044-003-001,44,3,Fuel Pump Assembly,0.6666666666666666,HIGH
4954315RX,CUMMINS ENGINE CO,"PUMP, FUEL - CAPS PUMP",044-003-000,44,3,Fuel Pump,0.6666666666666666,HIGH
4988666,CUMMINS ENGINE CO,"TUBE, FUEL SUPPLY",044-003-016,44,3,Line - Fuel Pump Rail,0.16666666666666666,MEDIUM
4989824,CUMMINS ENGINE CO,"TUBE, FUEL SUPPLY",044-003-016,44,3,Line - Fuel Pump Rail,0.16666666666666666,MEDIUM
4997684,CUMMINS ENGINE CO,"VALVE, FUEL FLOW PRESSURE",044-014-014,44,14,Valve - Fuel Control,0.4,HIGH
4C2Z-9N184-BA,FORD MOTOR CO,"FILTER, FUEL/WATER SEPARATOR",044-002-016,44,2,"Element - Fuel Filter, Water Separator",0.8,HIGH
4C3Z-12A342-A,FORD MOTOR CO,"PLUG, GLOW",044-015-000,44,15,"Heater - Fuel, Electrical, Components",0.0,LOW
4L3Z-9276-AA,FORD MOTOR CO,GASKET,044-003-155,44,3,Seal (Gasket/O-Ring) - Fuel Pump Mounting,0.14285714285714285,LOW
5010715R91,NAVISTAR,"INJECTOR, I334, 466, REMAN",044-004-001,44,4,Injector Assembly - Mechanical,0.16666666666666666,MEDIUM
5010717R91,INTERNATIONAL,INJECTOR,044-004-001,44,4,Injector Assembly - Mechanical,0.3333333333333333,HIGH
5010733R92,INTERNATIONAL,"ASSEMBLY, PUMP FUEL",044-003-001,44,3,Fuel Pump Assembly,1.0,HIGH
5010750-ELE,NAVISTAR,"PUMP, FUEL, HIGH PRESSURE",044-003-218,44,3,"Pump Assembly - Fuel, High Pressure",0.8,HIGH
5010750R95,INTERNATIONAL,HP FUEL PUMP,044-003-001,44,3,Fuel Pump Assembly,0.5,HIGH
5010870R92,INTERNATIONAL,"KIT, PUMP, FUEL",044-004-001,44,4,Injector Assembly - Mechanical,0.0,LOW
5010983R91,NAVISTAR,"INJECTOR, ASSY",044-000-000,44,0,Fuel System,0.0,LOW
5254261PX,CUMMINS ENGINE CO,FUEL INJECTOR,044-014-000,44,14,Injectors - Electronic,0.0,LOW
5256034PX,CUMMINS ENGINE CO,"INJECTOR, FUEL",044-004-001,44,4,Injector Assembly - Mechanical,0.25,MEDIUM
5259541,CUMMINS ENGINE CO,"TUBE, FUEL TRANSFER",044-000-000,44,0,Fuel System,0.25,MEDIUM
5260632,CUMMINS ENGINE CO,PUMP FUEL TRANSFER,044-003-001,44,3,Fuel Pump Assembly,0.5,HIGH
5266870,CUMMINS ENGINE CO,"HOSE, FLEXIBLE",044-001-013,44,1,Hose - Flexible,1.0,HIGH
5300565,CUMMINS ENGINE CO,"TUBE, FUEL SUPPLY",044-001-079,44,1,Tube Assembly - Suction and Return,0.14285714285714285,LOW
5308313,CUMMINS ENGINE CO,"VALVE, SOLENOID",044-016-005,44,16,Solenoid - Evaporative Emission Control,0.2,MEDIUM
5317100,CUMMINS ENGINE CO,"TUBE, FUEL DRAIN",044-001-079,44,1,Tube Assembly - Suction and Return,0.14285714285714285,LOW
5317164,CUMMINS ENGINE CO,"TUBE, FUEL, DRAIN",044-009-000,44,9,"Heater - Fuel, Non-Electrical",0.16666666666666666,MEDIUM
5317167,CUMMINS ENGINE CO,"TUBE, FUEL DRAIN",044-001-052,44,1,Hose - Vent Pipe,0.0,LOW
5363390,CUMMINS ENGINE CO,"FILTER, FUEL, PRIMARY",044-002-001,44,2,"Filter Assembly - Fuel, Primary",0.75,HIGH
5398557RX,CUMMINS ENGINE CO,"PUMP, FUEL",044-003-000,44,3,Fuel Pump,1.0,HIGH
5410427,CUMMINS ENGINE CO,"VALVE, FUEL METERING  CNG",044-000-000,44,0,Fuel System,0.2,MEDIUM
5427936J,MOTORCRAFT CORP.,FUEL TANK FILLER PIP,044-001-011,44,1,Line - Fuel,0.2,MEDIUM
5461550RX,CUMMINS ENGINE CO,"SENSOR, PARTICULATE",044-000-000,44,0,Fuel System,0.0,LOW
5479-102521,VOLVO,HARNESS WIF-DAVCO SEPERATOR,044-012-050,44,12,"Connector - Sensor, Fuel, Gaseous",0.0,LOW
5525526,CUMMINS ENGINE CO,FUEL LINE,044-001-011,44,1,Line - Fuel,1.0,HIGH
5549-13715-26,PETERBILT MOTORS CO,"SENSOR, LEVEL FUEL",044-001-100,44,1,Gasket - Filler Neck Fuel Tank,0.14285714285714285,LOW
5579403PX,CUMMINS ENGINE CO,"INJECTOR, ISL FUEL",044-010-052,44,10,Injector Assembly - Fuel,0.5,HIGH
5579405PX,CUMMINS ENGINE CO,"INJECTOR, FUEL",044-014-001,44,14,Injector Assembly - Electronic,0.25,MEDIUM
5579409PX,CUMMINS ENGINE CO,INJECTOR KIT,044-014-001,44,14,Injector Assembly - Electronic,0.25,MEDIUM
5594422PX,CUMMINS ENGINE CO,"PUMP, FUEL",044-003-001,44,3,Fuel Pump Assembly,0.6666666666666666,HIGH
5620621,CUMMINS ENGINE CO,"PUMP, FUEL, TRANSFER",044-003-001,44,3,Fuel Pump Assembly,0.5,HIGH
597338,BRIGGS & STRATTON,FUEL PUMP,044-003-000,44,3,Fuel Pump,1.0,HIGH
6132733C91,INTERNATIONAL,FUEL GAUGE,044-000-000,44,0,Fuel System,0.3333333333333333,HIGH
642-070-24-38-64,MERCEDES-BENZ OF NA,FUEL LINE COLLECTOR,044-001-000,44,1,"Tank - Fuel, Liquid",0.2,MEDIUM
66-29967-378,FREIGHTLINER,"SENSOR, FUEL INDICATOR",044-000-000,44,0,Fuel System,0.25,MEDIUM
67-6003,CARDONE INDS INC.,THROTTLE BODY,044-007-000,44,7,Throttle Controls,0.3333333333333333,HIGH
6L2Z-9B989-D,FORD MOTOR CO,"SENSOR, POSITION, THROTTLE",044-007-000,44,7,Throttle Controls,0.25,MEDIUM
7078617C1,NAVISTAR,"TUBE ASSY, INJECTOR COOLER INL",044-004-008,44,4,Tube & Arm Assembly - Injector Back,0.25,MEDIUM
7078618C1,NAVISTAR,"TUBE ASSY, INJECTOR COOLER OUT",044-004-008,44,4,Tube & Arm Assembly - Injector Back,0.25,MEDIUM
7099265C92,NAVISTAR,"HARNESS, INJECTOR",044-014-002,44,14,Wiring Harness - Electronic Injectors,0.2,MEDIUM
7100053C1,INTERNATIONAL,INTERNATIONAL VALVE SOLENOID,044-000-000,44,0,Fuel System,0.0,LOW
8071095,VOLVO,"HOSE, FUEL - PER  FT",044-000-000,44,0,Fuel System,0.2,MEDIUM
84236138,CHEVROLET MOTOR,"FUEL,TANK",044-001-001,44,1,Tank - Fuel,1.0,HIGH
85106917,GENERAL MOTORS CORP,"SENSOR, LEVEL, FUEL",044-001-100,44,1,Gasket - Filler Neck Fuel Tank,0.14285714285714285,LOW
85118917,VOLVO,"PUMP, FUEL",044-003-001,44,3,Fuel Pump Assembly,0.6666666666666666,HIGH
86786771,ACDELCO,"KIT, FUEL TANK PUMP MODULE",044-003-000,44,3,Fuel Pump,0.4,HIGH
8C2Z-9030-B,FORD MOTOR CO,"CAP , GAS",044-012-021,44,12,Cap - Gaseous Fuel Tank,0.2,MEDIUM
8C3Z-9030-A,FORD MOTOR CO,FUEL CAP,044-001-002,44,1,Cap - Fuel TankCap - Fuel Tank Deefer,0.4,HIGH
90019272,OTTAWA TRUCKS NA,"CAP, TANK, FUEL",044-001-000,44,1,"Tank - Fuel, Liquid",0.5,HIGH
90-02935,FREIGHTLINER,GASKET,044-001-003,44,1,Gasket - Fuel Tank Cap,0.25,MEDIUM
911-268,DORMAN PROD CO.,"EVAP,CANISTER",044-016-001,44,16,Canister - Evaporative Emission Control,0.2,MEDIUM
923829-1106,KALMAR LMV,DRAIN TAP,044-003-201,44,3,"Guide - Tappet, Prime Pump",0.0,LOW
9438383,GENERAL MOTORS CORP,"HOSE,FUEL,OIL,EVAP",044-001-013,44,1,Hose - Flexible,0.2,MEDIUM
9U5Z-9F945-C,FORD MOTOR CO,"ASSY, SOLENOID",044-016-005,44,16,Solenoid - Evaporative Emission Control,0.2,MEDIUM
9W7Z-9F593-B,FORD MOTOR CO,INJECTOR,044-014-000,44,14,Injectors - Electronic,0.0,LOW
A 681 883 09 01,FREIGHTLINER,"STEP-THREAD, BBOX",044-001-024,44,1,"Step - Strap, Fuel Tank",0.16666666666666666,MEDIUM
A0000701232,FREIGHTLINER,HPF LINE KIT,044-003-217,44,3,"Line - Fuel, high Plessure",0.16666666666666666,MEDIUM
A0000901351,MERCEDES-BENZ OF NA,"FILTER, FUEL, PRIMARY",044-002-001,44,2,"Filter Assembly - Fuel, Primary",0.75,HIGH
A0000901551,DETROIT DIESEL CORP,"FILTER, FUEL, PRIMARY",044-002-002,44,2,"Element - Fuel Filter, Primary",0.75,HIGH
A0000903651,DETROIT DIESEL CORP,"FUEL,WATER,SEPERATOR",044-002-016,44,2,"Element - Fuel Filter, Water Separator",0.3333333333333333,HIGH
A0000904851,DETROIT DIESEL CORP,"FILTER, FUEL/WATER SEPARATOR",044-002-016,44,2,"Element - Fuel Filter, Water Separator",0.8,HIGH
A0000905051,DETROIT DIESEL CORP,"FILTER, FUEL/WATER SEPERATOR",044-002-016,44,2,"Element - Fuel Filter, Water Separator",0.5,HIGH
A0000905151,DETROIT DIESEL CORP,"FILTER, FUEL, PRIMARY, KIT",044-002-019,44,2,"Replacement Kit - Elements, Euel Filter",0.2857142857142857,MEDIUM
A0000905251,DETROIT DIESEL CORP,"FILTER, FUEL/WATER SEPARATOR",044-002-002,44,2,"Element - Fuel Filter, Primary",0.3333333333333333,HIGH
A0000920910,DETROIT DIESEL CORP,"VALVE, FUEL PUMP, CHECK",044-003-047,44,3,Check Valve - Bleed-Back,0.3333333333333333,HIGH
A0001485007,DETROIT DIESEL CORP,FUEL FILTER,044-002-000,44,2,Filters,0.0,LOW
A0020941580,DETROIT DIESEL CORP,"GASKET, MANIFOLD, FUEL",044-003-015,44,3,Manifold - Fuel,0.6666666666666666,HIGH
A0029906714,FREIGHTLINER,"MOUNTING STUD, TURBO",044-001-011,44,1,Line - Fuel,0.0,LOW
A0060705301,FREIGHTLINER,LINE FUEL LOW PRE,044-001-011,44,1,Line - Fuel,0.5,HIGH
A0060705501,FREIGHTLINER,F/LINE KIT,044-003-158,44,3,Replacement Seal Kit - Fuel System Lines,0.125,LOW
A0071530228,DETROIT DIESEL CORP,"SENSOR, PRESSURE",044-000-000,44,0,Fuel System,0.0,LOW
A0111532028,DETROIT DIESEL CORP,"SENSOR, FUEL RAIL PRESSURE",044-003-251,44,3,Sensor Dail Salact,0.16666666666666666,MEDIUM
A01-31834-001,FREIGHTLINER,PEDAL-ACCELERATOR,044-007-032,44,7,"Bracket, All Cylinder - Milotte ControlBracket Alarm - Boverse Signal",0.0,LOW
A01-33819-000,FREIGHTLINER,"PEDAL, ACCELERATOR, ANALOGUE",044-007-032,44,7,"Bracket, All Cylinder - Milotte ControlBracket Alarm - Boverse Signal",0.0,LOW
A01-33820-001,FREIGHTLINER,"pedal, accelerator",044-007-032,44,7,"Bracket, All Cylinder - Milotte ControlBracket Alarm - Boverse Signal",0.0,LOW
A01-33821-001,FREIGHTLINER,PEDAL-ACCELERATOR,044-007-032,44,7,"Bracket, All Cylinder - Milotte ControlBracket Alarm - Boverse Signal",0.0,LOW
A0179978645,DETROIT DIESEL CORP,"O-RING, FUEL INJECTOR",044-004-010,44,4,,0.0,LOW
A0179978945,DETROIT DIESEL CORP,"O RING, MOUNTING",044-000-000,44,0,Fuel System,0.0,LOW
A03-23668-002,FREIGHTLINER,"BAND ASSY-25,PLN,FAI",044-001-019,44,1,Strap - Fuel TankStrap - Fuel Tank Desfar,0.0,LOW
A03-33883-002,FREIGHTLINER,"STRAP, FUEL TANK",044-001-019,44,1,Strap - Fuel TankStrap - Fuel Tank Desfar,0.6,HIGH
A03-33883-005,FREIGHTLINER,"STRAP, FUEL TANK",044-001-019,44,1,Strap - Fuel TankStrap - Fuel Tank Desfar,0.6,HIGH
A03-35654-401,FREIGHTLINER,"TANK, FUEL",044-001-001,44,1,Tank - Fuel,1.0,HIGH
A03-38042-000,FREIGHTLINER,"STRAP, TANK, FUEL",044-001-019,44,1,Strap - Fuel TankStrap - Fuel Tank Desfar,0.6,HIGH
A03-38910-000,FREIGHTLINER,"BAND, FUEL TANK MOUNT",044-001-019,44,1,Strap - Fuel TankStrap - Fuel Tank Desfar,0.2857142857142857,MEDIUM
A03-39644-180,FREIGHTLINER,FUEL TANK 25,044-001-001,44,1,Tank - Fuel,0.6666666666666666,HIGH
A03-39645-180,FREIGHTLINER,"TANK, FUEL",044-001-001,44,1,Tank - Fuel,1.0,HIGH
A03-39819-160,FREIGHTLINER,"FUEL,TANK",044-001-001,44,1,Tank - Fuel,1.0,HIGH
A03-39819-180,FREIGHTLINER,FUEL TANK,044-001-001,44,1,Tank - Fuel,1.0,HIGH
A03-40001-001,FREIGHTLINER,FUEL TANK STRAP,044-001-019,44,1,Strap - Fuel TankStrap - Fuel Tank Desfar,0.6,HIGH
A03-40924-181,FREIGHTLINER,"TANK, FUEL, 70 GALLON, RH",044-001-001,44,1,Tank - Fuel,0.4,HIGH
A03-40927-310,FREIGHTLINER,"FUEL TANK - 25 INCH, 30 DEGREE",044-001-001,44,1,Tank - Fuel,0.3333333333333333,HIGH
A03-43345-000,FREIGHTLINER,"TUBE ASSY, COOLANT SUPPLY",044-009-025,44,9,Hose Assembly - Fuel Heater,0.0,LOW
A04-35188-002,FREIGHTLINER,"TANK, DEF ASSEMBLY",044-001-000,44,1,"Tank - Fuel, Liquid",0.2,MEDIUM
A06-37217-055,FREIGHTLINER,SWITCH -PADDLE SET,044-011-007,44,11,Amplifier Assembly - GO,0.0,LOW
A064S965,CUMMINS ENGINE CO,FUEL PUMP,044-003-001,44,3,Fuel Pump Assembly,0.6666666666666666,HIGH
A064S967,CUMMINS ENGINE CO,"PUMP, FUEL",044-003-000,44,3,Fuel Pump,1.0,HIGH
A1393A,"PACCAR, INC.",STRAP-INSULATOR FUEL TANK,044-001-023,44,1,"Insulator - Strap, Fuel Tank",1.0,HIGH
A22-45245-110,FREIGHTLINER,"ASSY-STEP, FTANK",044-001-024,44,1,"Step - Strap, Fuel Tank",0.16666666666666666,MEDIUM
A22-57757-085,FREIGHTLINER,"STEP, FUEL TANK,850MM",044-001-024,44,1,"Step - Strap, Fuel Tank",0.6,HIGH
A22-74468-110,FREIGHTLINER,"STEP-FUEL TANK, 1100M",044-001-024,44,1,"Step - Strap, Fuel Tank",0.6,HIGH
A22-74468-125,FREIGHTLINER,"STEP-FUEL TANK,1250MM",044-001-024,44,1,"Step - Strap, Fuel Tank",0.6,HIGH
A23-13071-000,FREIGHTLINER,"FITTING, TEE, FUEL",044-001-012,44,1,Filling - Fuel Line Cooccup,0.16666666666666666,MEDIUM
A23-13071-001,FREIGHTLINER,"FITTING, TEE, FUEL",044-001-012,44,1,Filling - Fuel Line Cooccup,0.16666666666666666,MEDIUM
A30188,PRECISION BRAND PROD,"MODULE, PUMP, FUEL",044-003-001,44,3,Fuel Pump Assembly,0.5,HIGH
A31009,PRECISION BRAND PROD,FUEL PUMP,044-000-000,44,0,Fuel System,0.3333333333333333,HIGH
A4390007-005,AUTOCAR,FUEL SENSOR ISSPRO,044-001-100,44,1,Gasket - Filler Neck Fuel Tank,0.14285714285714285,LOW
A4600980180,FREIGHTLINER,GASKET-THROTTLE,044-003-155,44,3,Seal (Gasket/O-Ring) - Fuel Pump Mounting,0.125,LOW
A4700781810,DETROIT DIESEL CORP,"KIT, HP FUEL INJ LINE, SEALS",044-000-000,44,0,Fuel System,0.14285714285714285,LOW
A4700903151,DETROIT DIESEL CORP,"FILTER, FUEL, PRIMARY, KIT",044-002-019,44,2,"Replacement Kit - Elements, Euel Filter",0.2857142857142857,MEDIUM
A4700921608,DETROIT DIESEL CORP,"CAP, HOUSING, FILTER, FUEL",044-002-060,44,2,Cap Assembly - Top,0.16666666666666666,MEDIUM
A4710702235,DETROIT DIESEL CORP,FUEL LINE,044-000-000,44,0,Fuel System,0.3333333333333333,HIGH
A4710705235,FREIGHTLINER,LINE - FUEL PRESSURE,044-003-230,44,3,Line - Fuel Return,0.5,HIGH
A4710705335,FREIGHTLINER,LINE-FUEL,044-003-244,44,3,Line - Injector,0.3333333333333333,HIGH
A4710707232,FREIGHTLINER,FUEL LINE,044-003-158,44,3,Replacement Seal Kit - Fuel System Lines,0.14285714285714285,LOW
A4710708132,FREIGHTLINER,FUEL LINE,044-003-158,44,3,Replacement Seal Kit - Fuel System Lines,0.14285714285714285,LOW
A4710708435,FREIGHTLINER,FUEL LINE KT,044-003-234,44,3,Seal/O-Ring - Fuel Line,0.3333333333333333,HIGH
A4710709235,DETROIT DIESEL CORP,FUEL LINE,044-000-000,44,0,Fuel System,0.3333333333333333,HIGH
A4710780280,DETROIT DIESEL CORP,GASKET - FUEL LINE/FLANGE DD13,044-003-188,44,3,Gasket - Fuel Line,0.6,HIGH
A4710780510,FREIGHTLINER,FUEL LINE KIT,044-014-027,44,14,Hose - Feed High Pressure (HFUI),0.0,LOW
A4710780745,FREIGHTLINER,"ACCUMULATOR, PRESSURE",044-000-000,44,0,Fuel System,0.0,LOW
A4710780844,FREIGHTLINER,SEALING FLANGE,044-003-009,44,3,Gasket - Fuel Pump Flange Or Adapter,0.14285714285714285,LOW
A4710900955,FREIGHTLINER,"FILTER, 3-2 CONVERSION, FUEL",044-002-001,44,2,"Filter Assembly - Fuel, Primary",0.2857142857142857,MEDIUM
A4720703117,DETROIT DIESEL CORP,"FLANGE, SEALING",044-000-000,44,0,Fuel System,0.0,LOW
A4720706632,FREIGHTLINER,LINE FUEL LOW PRE,044-001-011,44,1,Line - Fuel,0.5,HIGH
A4720707232,DETROIT DIESEL CORP,"LINE, FUEL, HIGH PRESSURE PUMP",044-003-217,44,3,"Line - Fuel, high Plessure",0.5,HIGH
A4720707332,DETROIT DIESEL CORP,"LINE, FUEL, HIGH PRESSURE PUMP",044-003-217,44,3,"Line - Fuel, high Plessure",0.5,HIGH
A4720780180,MERCEDES-BENZ OF NA,"SEAL, INJECTOR",044-014-009,44,14,Seal - Electronic Injectors,0.25,MEDIUM
A4720780480,DETROIT DIESEL CORP,"SEAL, METAL, INJECTOR",044-003-147,44,3,"Seal - Adapter, Fuel Injector Lines",0.3333333333333333,HIGH
A4720900150,DETROIT DIESEL CORP,"PUMP, FUEL, PRIMER, HAND",044-002-046,44,2,"Plunger - Pump, Primer",0.4,HIGH
A4720920008,DETROIT DIESEL CORP,"CAP, HOUSING, FILTER, FUEL",044-002-060,44,2,Cap Assembly - Top,0.16666666666666666,MEDIUM
A4720920908,FREIGHTLINER,CAP,044-001-002,44,1,Cap - Fuel TankCap - Fuel Tank Deefer,0.2,MEDIUM
A4720921705,DETROIT DIESEL CORP,"FILTER, FUEL, PRIMARY, KIT",044-002-019,44,2,"Replacement Kit - Elements, Euel Filter",0.2857142857142857,MEDIUM
A4720940160,FREIGHTLINER,O-RING FUEL LINE,044-003-240,44,3,"Fitting - Engine, Fuel Line, Hose, Tube, Plumbing",0.2222222222222222,MEDIUM
A4720980080,FREIGHTLINER,MOUNTING SEAL,044-003-155,44,3,Seal (Gasket/O-Ring) - Fuel Pump Mounting,0.2857142857142857,MEDIUM
A4720980680,FREIGHTLINER,GASKET- TUBE EGR,044-003-078,44,3,Mounting Gasket - Injection Pump,0.16666666666666666,MEDIUM
A4720980880,FREIGHTLINER,MOUNTING SEAL,044-003-155,44,3,Seal (Gasket/O-Ring) - Fuel Pump Mounting,0.2857142857142857,MEDIUM
A4721531328,DETROIT DIESEL CORP,FILL LEVEL SENSOR WATER SEPERA,044-002-020,44,2,Soal Tash Drive,0.0,LOW
A4729971945,FREIGHTLINER,SEALING RING,044-000-000,44,0,Fuel System,0.0,LOW
A4730920508,DETROIT DIESEL CORP,"CAP, HOUSING, FILTER, FUEL",044-002-060,44,2,Cap Assembly - Top,0.16666666666666666,MEDIUM
A5410900151,MERCEDES-BENZ OF NA,"FILTER, FUEL, PRIMARY",044-002-002,44,2,"Element - Fuel Filter, Primary",0.75,HIGH
A66-33610-000,FREIGHTLINER,FUEL GAUGE HARNESS,044-001-018,44,1,Wiring Harness - Fuel Tank Gauge,0.6,HIGH
A6809970271,FREIGHTLINER,COUPLING,044-003-021,44,3,Coupling - Injection Drive,0.3333333333333333,HIGH
A9060170524,DETROIT DIESEL CORP,"LINE, FUEL",044-000-000,44,0,Fuel System,0.3333333333333333,HIGH
A9060702433,DETROIT DIESEL CORP,"LINE, FUEL",044-001-011,44,1,Line - Fuel,1.0,HIGH
A9060905176,FREIGHTLINER,"LINE, FUEL",044-003-217,44,3,"Line - Fuel, high Plessure",0.5,HIGH
A9360780180,FREIGHTLINER,O RING FUEL LINE,044-003-234,44,3,Seal/O-Ring - Fuel Line,0.8,HIGH
A9360900651,DETROIT DIESEL CORP,"FILTER, FUEL, PRIMARY, KIT",044-002-019,44,2,"Replacement Kit - Elements, Euel Filter",0.2857142857142857,MEDIUM
A9900920108,DETROIT DIESEL CORP,"CAP, HOUSING, FILTER, FUEL",044-002-060,44,2,Cap Assembly - Top,0.16666666666666666,MEDIUM
ACD 20944819,ACDELCO,"PIPE, CANISTER PURGE VALVE",044-016-011,44,16,Purge Valve - Evaporative Canister,0.6,HIGH
AM117584,JOHN DEERE LTD.,"FILTER, FUEL, PRIMARY",044-002-001,44,2,"Filter Assembly - Fuel, Primary",0.75,HIGH
AM141445,JOHN DEERE LTD.,"FILTER, FUEL, PRIMARY",044-002-001,44,2,"Filter Assembly - Fuel, Primary",0.75,HIGH
APS549,STANDARD,"SENSOR, ACCELERATOR PEDAL",044-007-110,44,7,"Sensor - Position, Accelerator Pedal",0.75,HIGH
ASA6256S,THERMO KING,FUEL TANK STRAP,044-001-019,44,1,Strap - Fuel TankStrap - Fuel Tank Desfar,0.6,HIGH
ATD-393,ATD TOOLS,HEAT SHRINK TUBE,044-000-000,44,0,Fuel System,0.0,LOW
ATKW2002,PETERBILT MOTORS CO,"TANK, 47 GALLON FUEL",044-001-000,44,1,"Tank - Fuel, Liquid",0.4,HIGH
BC27-9002-B,FORD MOTOR CO,"TANK, FUEL",044-001-001,44,1,Tank - Fuel,1.0,HIGH
BC2Z-9002-B,FORD MOTOR CO,"TANK, FUEL",044-001-001,44,1,Tank - Fuel,1.0,HIGH
